Timestamp,Source IP,Destination IP,Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,SYN Flag Count,FIN Flag Count,RST Flag Count,ACK Flag Count,PSH Flag Count,Flow Bytes/s,Flow Packets/s
10/09/2026 22:27:30,52.84.17.100,192.168.1.8,46299,21540,6,2531350,4,9,4116,2934,1,0,0,0,0,2785.08,5.14
10/09/2026 22:27:30,192.168.1.24,13.32.99.1,33497,20,6,298497,3,3,4299,1023,0,0,0,1,1,17829.32,20.1
10/09/2026 22:27:30,192.168.1.11,192.168.1.14,2888,19154,6,2306285,1,1,879,1044,0,0,1,0,0,833.81,0.87
10/09/2026 22:27:30,192.168.1.25,192.168.1.1,33778,53,6,4206011,6,13,180,4316,1,0,0,0,0,1068.95,4.52
10/09/2026 22:27:30,192.168.1.10,192.168.1.1,42678,8443,17,2778054,14,14,19866,803194,0,0,0,0,0,296272.14,10.08
10/09/2026 22:27:30,192.168.1.14,192.168.1.27,21602,16579,6,3789879,12,15,2004,6570,1,0,0,0,0,2262.34,7.12
10/09/2026 22:27:30,192.168.1.14,52.84.17.100,26696,8080,6,1839983,10,9,14280,275805,1,0,0,1,0,157656.35,10.33
10/09/2026 22:27:30,52.84.17.100,192.168.1.20,45507,8080,17,4731453,18,5,12024,164480,0,0,0,0,0,37304.4,4.86
10/09/2026 22:27:30,13.32.99.1,151.101.1.140,2170,80,6,1744155,8,9,8776,359343,0,1,0,1,0,211058.65,9.75
10/09/2026 22:27:30,192.168.1.4,192.168.1.12,49871,443,6,2747832,11,7,10428,117572,0,0,0,1,1,46582.18,6.55
10/09/2026 22:27:30,192.168.1.15,192.168.1.11,16570,46661,6,4301386,1,15,949,19665,0,0,0,1,0,4792.41,3.72
10/09/2026 22:27:30,192.168.1.15,192.168.1.13,57690,8080,6,3155353,18,5,22788,118915,0,0,0,1,1,44908.76,7.29
10/09/2026 22:27:30,1.1.1.1,192.168.1.24,22469,53,17,2266204,12,9,660,4248,0,0,0,0,0,2165.74,9.27
10/09/2026 22:27:30,192.168.1.22,192.168.1.29,0,0,1,2432526,3,13,105,1040,0,0,0,0,0,470.7,6.58
10/09/2026 22:27:30,198.41.0.4,192.168.1.10,46905,63600,6,252804,17,3,15351,279,0,1,0,1,0,61826.55,79.11
10/09/2026 22:27:30,192.168.1.27,192.168.1.28,49370,53,6,3592762,20,5,700,1655,1,0,0,0,0,655.48,6.96
10/09/2026 22:27:30,192.168.1.22,192.168.1.7,11681,80,6,941650,18,11,13320,119823,1,0,0,0,0,141393.3,30.8
10/09/2026 22:27:30,192.168.1.20,192.168.1.11,35275,52638,17,2999062,14,6,7616,8298,0,0,0,0,0,5306.33,6.67
10/09/2026 22:27:30,192.168.1.27,192.168.1.19,2932,80,6,1452886,8,10,7160,647950,0,1,0,1,0,450902.55,12.39
10/09/2026 22:27:30,198.41.0.4,192.168.1.1,11193,25,17,4675226,1,0,122,0,0,0,0,0,0,26.09,0.21
10/09/2026 22:27:30,192.168.1.4,1.1.1.1,12200,53,6,516613,9,15,675,3180,1,0,0,0,0,7462.07,46.46
10/09/2026 22:27:30,192.168.1.16,192.168.1.23,56328,17777,17,3780165,9,9,12717,4482,0,0,0,0,0,4549.8,4.76
10/09/2026 22:27:30,192.168.1.15,192.168.1.8,23225,19133,17,865942,6,15,1668,2490,0,0,0,0,0,4801.71,24.25
10/09/2026 22:27:30,13.32.99.1,172.217.14.238,61782,443,6,513995,6,3,8934,145341,0,0,0,1,0,300148.83,17.51
10/09/2026 22:27:30,192.168.1.29,192.168.1.20,21507,443,6,2513425,15,13,13545,775411,1,0,0,1,0,313896.77,11.14
10/09/2026 22:27:30,8.8.8.8,192.168.1.10,50256,443,6,4254197,4,13,2820,365469,0,0,0,1,0,86570.74,4.0
10/09/2026 22:27:30,192.168.1.22,192.168.1.9,62247,465,6,1819581,16,10,23136,9440,0,0,0,1,0,17903.02,14.29
10/09/2026 22:27:30,192.168.1.28,192.168.1.5,0,0,1,2404581,17,4,595,252,0,0,0,0,0,352.24,8.73
10/09/2026 22:27:30,198.41.0.4,192.168.1.9,50358,55361,6,1614656,13,2,14079,2748,0,0,1,0,0,10421.41,9.29
10/09/2026 22:27:30,192.168.1.12,192.168.1.22,31302,21,6,135771,4,2,2336,1878,1,0,0,0,0,31037.56,44.19
